,intern_role,company_name,hiring_type,location,job_offer(LPA),duration(months),posted_time,early_applicant,apply_links,stipend_min,stipend_max
1406,Video Editing/Making,Dotdevz Consulting,0.0,"GreaterNoida,Noida,GreaterNoidaWest",6.0,6.0,5,No,https://internshala.com/internship/detail/video-editing-making-internship-in-multiple-locations-at-dotdevz-consulting1750246864,6000.0,13000
1407,Video Editing/Making,EmptyCup,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-part-time-video-editing-making-internship-at-emptycup1750254043,5000.0,10000
1408,Content and Social Media Marketing,Skillmate,0.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-content-and-social-media-marketing-internship-at-skillmate1750246146,1000.0,5000
1409,Children’s Activity Planning & Facilitation,Sujosu Technology,0.0,"Pune,Pimpri-Chinchwad",0.0,6.0,5,yes,https://internshala.com/internship/detail/childrens-activity-planning-facilitation-internship-in-multiple-locations-at-sujosu-technology1750253143,5000.0,10000
1410,Marketing,Greenovative Energy Private Limited,0.0,Pune,0.0,3.0,5,No,https://internshala.com/internship/detail/marketing-internship-in-pune-at-greenovative-energy-private-limited1750252989,5000.0,10000
1411,Company Secretary (CS),PREKSH CORPSERVE LLP,0.0,Mumbai,0.0,24.0,5,yes,https://internshala.com/internship/detail/company-secretary-cs-internship-in-mumbai-at-preksh-corpserve-llp1750245771,9000.0,12000
1412,Company Secretary (CS),"AAS & Associates, Company Secretaries",0.0,Mumbai,0.0,24.0,5,yes,https://internshala.com/internship/detail/company-secretary-cs-internship-in-mumbai-at-aas-associates-company-secretaries1750245714,9000.0,12000
1413,Inside Sales,Deepspace9 Technologies LLP,0.0,Delhi,6.0,6.0,5,No,https://internshala.com/internship/detail/inside-sales-internship-in-delhi-at-deepspace9-technologies-llp1750252814,13000.0,10000
1414,Business Development (Sales),Sambodhi,0.0,Noida,0.0,6.0,5,No,https://internshala.com/internship/detail/business-development-sales-internship-in-noida-at-sambodhi1750252561,10000.0,15000
1415,Campus Ambassador,Better,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/campus-ambassador-programme-at-better1750239952,5000.0,10000
1416,Architecture,Expastudio Consulting Private Limited,0.0,Gurgaon,2.4,6.0,5,yes,https://internshala.com/internship/detail/architecture-internship-in-gurgaon-at-expastudio-consulting-private-limited1750252319,5000.0,10000
1417,Campus Ambassador,Basti Ki Pathshala Foundation,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/campus-ambassador-programme-at-basti-ki-pathshala-foundation1750249441,5000.0,10000
1418,Graphic Design,Design Culture,0.0,Raipur,0.0,2.0,5,yes,https://internshala.com/internship/detail/graphic-design-internship-in-raipur-at-design-culture1750244939,5000.0,10000
1419,Digital Marketing,Morphedo Technologies Private Limited,0.0,Noida,0.0,6.0,5,No,https://internshala.com/internship/detail/digital-marketing-internship-in-noida-at-morphedo-technologies-private-limited1750252067,8000.0,12000
1420,Product Innovation,Ossus Biorenewables Private Limited,0.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/product-innovation-internship-in-bangalore-at-ossus-biorenewables-private-limited1750251795,5000.0,10000
1421,Quality Analyst,Mind Loop Soutions,1.0,Pune,0.0,6.0,5,No,https://internshala.com/internship/detail/quality-analyst-internship-in-pune-at-mind-loop-soutions1750251743,10000.0,15000
1422,Search Engine Optimization (SEO) Link Building Associate,Binu Antony,0.0,Workfromhome,5.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-search-engine-optimization-seo-link-building-associate-internship-at-binu-antony1750251692,2000.0,14000
1423,Recruitment Consultant,ICS Consultancy Services,1.0,Bangalore,6.0,2.0,5,No,https://internshala.com/internship/detail/recruitment-consultant-internship-in-bangalore-at-ics-consultancy-services1750251605,12000.0,15000
1424,Business Development (Inside Sales/Field Sales),Heterize Infotech Private Limited,1.0,Indore,7.0,3.0,5,yes,https://internshala.com/internship/detail/part-time-business-development-inside-sales-field-sales-internship-in-indore-at-heterize-infotech-private-limited1750251447,5000.0,7000
1425,Lead Generation,Heterize Infotech Private Limited,1.0,Indore,0.0,4.0,5,yes,https://internshala.com/internship/detail/lead-generation-internship-in-indore-at-heterize-infotech-private-limited1750251470,5000.0,7000
1426,Video Editing/Making,PeakPals,0.0,Noida,0.0,2.0,5,No,https://internshala.com/internship/detail/video-editing-making-internship-in-noida-at-peakpals1750251464,5000.0,25000
1427,Full Stack Development,Visionvivante,0.0,Chandigarh,0.0,3.0,5,yes,https://internshala.com/internship/detail/part-time-full-stack-development-internship-in-chandigarh-at-visionvivante1750251408,5000.0,10000
1428,E-Commerce Operations,Heterize Infotech Private Limited,1.0,Indore,0.0,3.0,5,yes,https://internshala.com/internship/detail/part-time-e-commerce-operations-internship-in-indore-at-heterize-infotech-private-limited1750251411,5000.0,7000
1429,Field Sales Executive,Jai Shri Krishna Packaging Industries,0.0,Hyderabad,0.0,2.0,5,yes,https://internshala.com/internship/detail/field-sales-executive-internship-in-hyderabad-at-jai-shri-krishna-packaging-industries1750251348,8000.0,12000
1430,Recruitment,The Career Vista,0.0,Udaipur,0.0,2.0,5,No,https://internshala.com/internship/detail/recruitment-internship-in-udaipur-at-the-career-vista1750251295,4000.0,10000
1431,Telecalling,Altruism Casa,0.0,"GreaterNoida,Noida",0.0,3.0,5,No,https://internshala.com/internship/detail/part-time-telecalling-internship-in-multiple-locations-at-altruism-casa1750244091,6000.0,10500
1432,Social Media Marketing Manager,Assetrak Solutions Private Limited,0.0,Pune,0.0,6.0,5,yes,https://internshala.com/internship/detail/social-media-marketing-manager-internship-in-pune-at-assetrak-solutions-private-limited1750251018,8000.0,10000
1433,Digital Marketing,VSAT Analytics Private Limited,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-vsat-analytics-private-limited1750250662,6000.0,8000
1434,Field Sales,FiftySixShots Beverages Private Limited,1.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/field-sales-internship-in-bangalore-at-fiftysixshots-beverages-private-limited1750250601,9000.0,25000
1435,Marekting,Pressmate Dotin Care Private Limited,1.0,Gurgaon,0.0,3.0,5,No,https://internshala.com/internship/detail/part-time-marekting-internship-in-gurgaon-at-pressmate-dotin-care-pvt-ltd1750250574,10000.0,16000
1436,Financial Blog Content Creation & Research,Sayvtech Incorporation,0.0,Thane,0.0,3.0,5,No,https://internshala.com/internship/detail/part-time-financial-blog-content-creation-research-internship-in-thane-at-sayvtech-incorporation1750250529,5000.0,7000
1437,Event Management,EduAce Services,1.0,"Chennai,Indore,Jodhpur,Kanpur,Lucknow,Hyderabad,Varanasi,Bangalore",0.0,6.0,5,No,https://internshala.com/internship/detail/event-management-internship-in-multiple-locations-at-eduace-services1750250438,5000.0,7000
1438,Growth (School Partnerships),Edjuvenate Learnings Private Limited,1.0,"Chennai,Kolkata,Pune,Mumbai,Jaipur,Delhi",0.0,2.0,5,No,https://internshala.com/internship/detail/growth-school-partnerships-internship-in-multiple-locations-at-edjuvenate-learnings-private-limited1750250371,19000.0,10000
1439,Lead Generation,Resolute AI Software Private Limited,1.0,Workfromhome,2.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-lead-generation-internship-at-resolute-ai-software-private-limited1750250374,5000.0,8000
1440,Business Development (Sales),Resolute AI Software Private Limited,1.0,Workfromhome,2.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-resolute-ai-software-private-limited1750250334,5000.0,8000
1441,Electrical Engineering,SVS,0.0,Gurgaon,0.0,6.0,5,No,https://internshala.com/internship/detail/electrical-engineering-internship-in-gurgaon-at-deepak-shukla1750250249,9000.0,18000
1442,Social Media Community Manager (Male),Renske Technologies Inc,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-social-media-community-manager-male-internship-at-renske-technologies-inc1750250246,5000.0,12000
1443,Human Resources (HR),Indatos Informatics Private Ltd.,0.0,Indore,0.0,2.0,5,No,https://internshala.com/internship/detail/part-time-human-resources-hr-internship-in-indore-at-indatos-informatics-private-ltd1750250189,4500.0,6000
1444,Sales and Marketing,THE FAIRYTALE'Ss,1.0,"Delhi,WestPatelNagar,South",0.0,4.0,5,No,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-the-fairytaless1750250131,5100.0,15500
1445,Telecalling,Winway Consultancy Services Private Limited,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-telecalling-internship-at-winway-consultancy-services-private-limited1750249942,5000.0,10000
1446,Data Entry,Winway Consultancy Services Private Limited,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-data-entry-internship-at-winway-consultancy-services-private-limited1750249930,15000.0,25000
1447,Business Research,Interlink Capital Advisors Private Limited,0.0,Pune,0.0,3.0,5,No,https://internshala.com/internship/detail/business-research-internship-in-pune-at-interlink-capital-advisors-pvtltd1750249825,2000.0,2001
1448,Human Resources (HR) Manager,KBA Systems,0.0,Ahmedabad,0.0,3.0,5,yes,https://internshala.com/internship/detail/human-resources-hr-manager-internship-in-ahmedabad-at-kba-systems1750249763,2000.0,4000
1449,Sales and Marketing,ConvoAI Labs,1.0,"Delhi,Ghaziabad,Gurgaon,Noida",0.0,3.0,5,No,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-convoai-labs1750249718,8000.0,12000
1456,Graphic Design,Moshi Moshi,1.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-moshi-moshi1750249699,10000.0,12000
1457,Video Editing/Making,Hudi Enterprise,1.0,Workfromhome,0.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-hudi-enterprise1750249474,11000.0,16000
1458,Administration,Jainam Jivika Foundation,1.0,Pune,0.0,3.0,5,No,https://internshala.com/internship/detail/administration-internship-in-pune-at-jainam-jivika-foundation1750249463,8000.0,15000
1459,Finance & Accounting,MXON Technologies,0.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/finance-accounting-internship-in-bangalore-at-mxon-technologies1750249445,3001.0,5001
1460,Full Stack Development,FiftySeven,1.0,Workfromhome,0.0,4.0,5,No,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-fiftyseven1750249432,5000.0,10000
1461,Inside Sales,Tap Academy,0.0,Bangalore,0.0,6.0,5,yes,https://internshala.com/internship/detail/inside-sales-internship-in-bangalore-at-tap-academy1750249197,12000.0,15000
1462,Digital Marketing,OneConsumer,0.0,Pune,5.0,6.0,5,No,https://internshala.com/internship/detail/digital-marketing-internship-in-pune-at-oneconsumer1750249381,15000.0,20000
1463,Web Development,Basti Ki Pathshala Foundation,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-part-time-web-development-internship-at-basti-ki-pathshala-foundation1750249357,5000.0,10000
1464,Social Media Marketing,Brandshark,1.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-bangalore-at-brandshark1750249285,5000.0,10000
1465,Video Editing/Making,Rajdhani Media And Entertainment LLP,1.0,Gurgaon,0.0,3.0,5,No,https://internshala.com/internship/detail/video-editing-making-internship-in-gurgaon-at-rajdhani-media-and-entertainment-llp1750249174,8000.0,12000
1466,Marketing Analysis,Talent Corner HR Services,1.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/marketing-analysis-internship-in-mumbai-at-talent-corner-hr-services1750249060,5000.0,10000
1467,Reel/ Video Making,The Trading Fox,1.0,Jaipur,3.0,2.0,5,No,https://internshala.com/internship/detail/reel-video-making-internship-in-jaipur-at-the-trading-fox1750249015,15000.0,20000
1468,Training and Development,Talent Corner HR Services,1.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/training-and-development-internship-in-mumbai-at-talent-corner-hr-services1750248937,5000.0,10000
1469,Accounting & Auditing,"RJS & CO, CA (Ramesh J Somani And Company)",0.0,Pune,0.0,6.0,5,No,https://internshala.com/internship/detail/accounting-auditing-internship-in-pune-at-rjs-co-ca-ramesh-j-somani-and-company1750248883,3000.0,10000
1470,Digital Marketing,Oraenx,0.0,Delhi,0.0,3.0,5,No,https://internshala.com/internship/detail/digital-marketing-internship-in-delhi-at-oraenx1750248829,5000.0,10000
1471,Finance & Accounting,Endeavar,1.0,Bangalore,0.0,6.0,5,No,https://internshala.com/internship/detail/finance-accounting-internship-in-bangalore-at-endeavar1750248763,10000.0,15000
1472,Video Editing/Making,Khyati Shah,0.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-khyati-shah1750248729,6000.0,10000
1473,Law/Legal,Karytron Electricals Private Limited,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-part-time-law-legal-internship-at-karytron-electricals-private-limited1750248706,5000.0,10000
1474,CAD Design,NAHATA IMPEX PRIVATE LIMITED,1.0,Kolkata,2.4,6.0,5,No,https://internshala.com/internship/detail/cad-design-internship-in-kolkata-at-nahata-impex-private-limited1750248690,15000.0,18000
1475,Content and Social Media Marketing,Vaatalya - Community & Nature Retreat,1.0,"Solan,ShimlaDivision,BadiDhar",0.0,3.0,5,No,https://internshala.com/internship/detail/retreat-life-digital-content-internship-in-multiple-locations-at-vaatalya-community-nature-retreat1750248663,3500.0,6000
1476,Business Development (Sales),ResilienceWorks,0.0,Bangalore,0.0,3.0,5,yes,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-resilienceworks1750248649,5000.0,10000
1477,Volunteering,She Can Foundation,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-part-time-volunteering-internship-at-she-can-foundation1750248486,1500.0,10000
1478,Social Entrepreneurship,She Can Foundation,1.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-part-time-social-entrepreneurship-internship-at-she-can-foundation1750248458,1500.0,10000
1479,Human Resources (HR),Ma Foi Strategic Consultants Private Limited,0.0,Chennai,4.0,3.0,5,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-ma-foi-strategic-consultants-private-limited1750241278,2000.0,3000
1480,Digital Marketing,WebMobi 360,0.0,Pimpri-Chinchwad,0.0,3.0,5,No,https://internshala.com/internship/detail/digital-marketing-internship-in-pimpri-chinchwad-at-webmobi-3601750248307,3000.0,5000
1481,Business Development (Sales),Truebodh Technologies Private Limited,1.0,"Delhi,Ghaziabad,Noida,GreaterNoidaWest",0.0,6.0,5,No,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-truebodh-technologies-private-limited1750248057,6000.0,10000
1482,Accounting & Tally,Udyog Buddy,0.0,Jabalpur,0.0,6.0,5,No,https://internshala.com/internship/detail/accounting-tally-internship-in-jabalpur-at-udyog-buddy1750240651,7000.0,10000
1483,Accounting,Sleepwalkers Engineering Solutions,0.0,Chennai,0.0,6.0,5,No,https://internshala.com/internship/detail/accounting-internship-in-chennai-at-sleepwalkers-engineering-solutions-pvt-ltd1750247830,10000.0,15000
1484,Search Engine Optimization (SEO),Namastetu Technologies Private Limited,0.0,Indore,0.0,3.0,5,yes,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-indore-at-namastetu-technologies-pvt-ltd1750247753,3000.0,8000
1485,Sales Consultant,Surge Swipe,0.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-sales-consultant-internship-at-surge-swipe1750247747,1100.0,26500
1486,Business Development (Sales),Marketing Geeks,0.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-marketing-geeks1750247652,2000.0,15000
1487,Community Management,Brand Narrators,0.0,Workfromhome,0.0,2.0,5,No,https://internshala.com/internship/detail/work-from-home-community-management-internship-at-brandnarrators1750247363,2500.0,2501
1488,Marketing,DgNote Technologies,0.0,Mumbai,3.0,6.0,5,No,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-dgnote-technologies1750247199,5000.0,10000
1489,Creative Writing,Adsparkx Media,0.0,Gurgaon,0.0,6.0,5,No,https://internshala.com/internship/detail/creative-writing-internship-in-gurgaon-at-adsparkx-media1750246982,14000.0,15000
1490,Sales and Marketing,SkyRoots Venture LLP,0.0,Pune,0.0,3.0,5,yes,https://internshala.com/internship/detail/part-time-sales-and-marketing-internship-in-pune-at-skyroots-venture-llp1750246799,5000.0,6000
1491,Full Stack Development,Zhians,0.0,Chennai,0.0,2.0,5,No,https://internshala.com/internship/detail/full-stack-development-internship-in-chennai-at-zhians1750246428,5000.0,8000
1492,Video Editing/Making,Adsiduous Media,0.0,"Chennai,Hyderabad",0.0,3.0,5,No,https://internshala.com/internship/detail/video-editing-making-internship-in-multiple-locations-at-adsiduous-media1750239269,10000.0,15000
1493,Social Media Manager,QuadB Tech,1.0,Ludhiana,5.0,6.0,5,No,https://internshala.com/internship/detail/social-media-manager-internship-in-ludhiana-at-quadb-tech1750246301,15000.0,20000
1494,Customer Service/Customer Support,VleBazaar,1.0,"Delhi,Gurgaon",0.0,6.0,5,No,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-multiple-locations-at-vlebazaar1750246144,8000.0,16000
1495,Graphic Design,Wilde Pattern Company,0.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-wilde-pattern-company1750246012,5000.0,10000
1496,Data Engineer,FiftySeven,1.0,Workfromhome,0.0,4.0,5,No,https://internshala.com/internship/detail/work-from-home-data-engineer-internship-at-fiftyseven1750245928,5000.0,10000
1497,Video Editing/Making,Naiplus Solution Private Limited,0.0,Ahmedabad,0.0,6.0,5,yes,https://internshala.com/internship/detail/part-time-video-editing-making-internship-in-ahmedabad-at-naiplus-solution-private-limited1750245879,3000.0,5000
1498,Motion Graphics,More Retail Private Limited,0.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/motion-graphics-internship-in-bangalore-at-more-retail-private-limited1750245760,5000.0,10000
1499,Graphic Design,Baweja Media,1.0,Workfromhome,0.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-baweja-media1750245708,6000.0,10000
1500,Social Media Marketing,ShowTime Consulting Firm,0.0,Hyderabad,0.0,3.0,5,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-hyderabad-at-showtime-consulting-firm1750245666,10000.0,15000
1501,Video Editing/Making,Silverlabs India Private Limited,1.0,Hyderabad,0.0,6.0,5,No,https://internshala.com/internship/detail/part-time-video-editing-making-internship-in-hyderabad-at-silverlabs-india-private-limited1750245581,15000.0,18000
1502,Field Sales,One Portfolio Advisory Private Limited,0.0,Mumbai,0.0,3.0,5,yes,https://internshala.com/internship/detail/field-sales-internship-in-mumbai-at-one-portfolio-advisory-private-limited1750245056,7000.0,8000
1503,Content Writing,NoBroker,0.0,Bangalore,4.2,3.0,5,No,https://internshala.com/internship/detail/content-writing-internship-in-bangalore-at-nobroker1750244720,5000.0,10000
1504,Talent Acquisition,Oro Corp Technologies,0.0,Chennai,0.0,2.0,5,No,https://internshala.com/internship/detail/talent-acquisition-internship-in-chennai-at-oro-corp-technologies1750244606,5000.0,10000
1505,Content and Social Media Marketing,Cidroy Technologies LLP,0.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-bangalore-at-cidroy-technologies-llp1750244515,10000.0,15000
1506,Human Resources (HR) Manager,Oro Corp Technologies,0.0,Chennai,0.0,2.0,5,No,https://internshala.com/internship/detail/human-resources-hr-manager-internship-in-chennai-at-oro-corp-technologies1750244352,5000.0,10000
1507,Human Resources (HR) INTERN,Vikaki Enterprises,0.0,Jaipur,0.0,6.0,5,No,https://internshala.com/internship/detail/human-resources-hr-manager-internship-in-jaipur-at-vikaki-enterprises1750243743,6000.0,10000
1508,Full Stack Development,Truebodh Technologies Private Limited,1.0,"Delhi,Ghaziabad,Noida,GreaterNoidaWest",0.0,6.0,5,No,https://internshala.com/internship/detail/full-stack-development-internship-in-multiple-locations-at-truebodh-technologies-private-limited1750243725,4000.0,15000
1509,Digital Marketing,Kult App,1.0,Gurgaon,0.0,3.0,5,No,https://internshala.com/internship/detail/digital-marketing-internship-in-gurgaon-at-kult-app1750243627,12500.0,15000
1510,Content and Social Media Marketing,B&B Homes,1.0,"Faridabad,Delhi",4.0,3.0,5,No,https://internshala.com/internship/detail/content-and-social-media-marketing-internship-in-multiple-locations-at-b-b-homes1750243538,5000.0,10000
1511,International Marketing,Talent Corner HR Services,1.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/international-marketing-internship-in-mumbai-at-talent-corner-hr-services1750243379,5000.0,10000
1512,Human Resource Executive,Talent Corner HR Services,1.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/human-resource-executive-internship-in-mumbai-at-talent-corner-hr-services1750243288,5000.0,10000
1513,HR Consultant,Exultant,0.0,Bangalore,0.0,6.0,5,No,https://internshala.com/internship/detail/hr-consultant-internship-in-bangalore-at-exultant1750243270,7000.0,20000
1514,Inside Sales,Lime Learn Eduserv Private Limited,1.0,Pune,0.0,2.0,5,No,https://internshala.com/internship/detail/inside-sales-internship-in-pune-at-lime-learn-eduserv-private-limited1750243232,8000.0,20000
1515,Lead Generation,Clique,1.0,Workfromhome,0.0,2.0,5,No,https://internshala.com/internship/detail/work-from-home-lead-generation-internship-at-clique1750243173,10000.0,15000
1516,Digital Marketing,Yupland,1.0,Delhi,0.0,6.0,5,No,https://internshala.com/internship/detail/digital-marketing-internship-in-delhi-at-yupland1750243069,10000.0,12000
1517,Legal Executive,Talent Corner HR Services,1.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/legal-executive-internship-in-mumbai-at-talent-corner-hr-services1750243024,5000.0,10000
1518,Payroll Executive,Talent Corner HR Services,1.0,Mumbai,0.0,3.0,5,No,https://internshala.com/internship/detail/payroll-executive-internship-in-mumbai-at-talent-corner-hr-services1750242964,5000.0,10000
1519,Subject Matter Expert For School Books- Chemistry,Arihant Publications,1.0,"Delhi,Noida",3.0,3.0,5,No,https://internshala.com/internship/detail/subject-matter-expert-for-school-books-chemistry-internship-in-multiple-locations-at-arihant-publications1750242921,6000.0,9000
1520,Architecture,Swabhimaan Architects,0.0,Ahmedabad,0.0,4.0,5,yes,https://internshala.com/internship/detail/architecture-internship-in-ahmedabad-at-swabhimaan-architects1750235663,5000.0,10000
1521,Project Management,Kruu Edtech Ptovate Limited,0.0,Chennai,0.0,6.0,5,yes,https://internshala.com/internship/detail/project-management-internship-in-chennai-at-kruu-edtech-ptovate-limited1750242882,14000.0,20000
1522,Online Tutor For Marine Engineering (Maintenance And Repair At Operational Level),Narigiri's Connect To Universe Private Limited,1.0,Workfromhome,0.0,6.0,5,yes,https://internshala.com/internship/detail/work-from-home-part-time-online-tutor-for-marine-engineering-maintenance-and-repair-at-operational-level-internship-at-narigiris-connect-to-universe-private-limited1750242858,1000.0,8000
1523,International Business Development,Matrix Exports,0.0,Bangalore,0.0,6.0,5,yes,https://internshala.com/internship/detail/international-business-development-internship-in-bangalore-at-matrix-exports1750242698,5000.0,10000
1524,Online Tutor For Marine Engineering,Narigiri's Connect To Universe Private Limited,1.0,Workfromhome,0.0,6.0,5,yes,https://internshala.com/internship/detail/work-from-home-part-time-online-tutor-for-marine-engineering-internship-at-narigiris-connect-to-universe-private-limited1750242678,1000.0,8000
1525,Recruitment Consultant,amIT Global Solutions,0.0,Chennai,0.0,3.0,5,yes,https://internshala.com/internship/detail/recruitment-consultant-internship-in-chennai-at-amit-global-solutions1750242486,5000.0,10000
1526,Interior Design,Tex N Co,1.0,Hyderabad,3.0,4.0,5,No,https://internshala.com/internship/detail/interior-design-internship-in-hyderabad-at-tex-n-co1750242413,5000.0,10000
1527,Content Editor,Ebullient Enterprises,0.0,Bangalore,0.0,2.0,5,yes,https://internshala.com/internship/detail/part-time-content-editor-internship-in-bangalore-at-ebullient-enterprises1750242267,5000.0,10000
1528,Media & Public Relations (PR),Brand Catapult,0.0,Delhi,0.0,3.0,5,No,https://internshala.com/internship/detail/media-public-relations-pr-internship-in-delhi-at-brand-catapult1750241716,8000.0,10000
1529,Proofreading And Client Interaction,Internshala,1.0,Workfromhome,0.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-proofreading-and-client-interaction-internship-at-internshala1750241598,5000.0,10000
1532,Videography,The Boardgame Den,0.0,Bangalore,0.0,6.0,5,yes,https://internshala.com/internship/detail/part-time-videography-internship-in-bangalore-at-the-boardgame-den1750241436,4800.0,6000
1533,CA Articleship,JOSHI SATHE AND ASSOCIATES,0.0,Mumbai,0.0,24.0,5,yes,https://internshala.com/internship/detail/ca-articleship-internship-in-mumbai-at-joshi-sathe-and-associates1750234031,5000.0,10000
1534,Financial Content Writer,Trade Brains,1.0,Bangalore,0.0,3.0,5,No,https://internshala.com/internship/detail/financial-content-writer-internship-in-bangalore-at-trade-brains1750241225,10000.0,12000
1535,UI/UX Design & Developer (Framer),Better,1.0,Workfromhome,0.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-ui-ux-design-developer-framer-internship-at-better1750240958,8000.0,10000
1536,Search Engine Optimization (SEO),Better,1.0,Workfromhome,0.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-search-engine-optimization-seo-internship-at-better1750240920,8000.0,10000
1537,Human Resources (HR),SmartXaaS LLP,1.0,Noida,4.0,3.0,5,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-noida-at-smartxaas-llp1750240837,10000.0,13000
1538,Teaching,Aura Toddlers,0.0,Ahmedabad,0.0,6.0,5,yes,https://internshala.com/internship/detail/teaching-internship-in-ahmedabad-at-aura-toddlers1750239983,15000.0,25000
1539,E-Commerce Sales,RR DIGITALS,0.0,Workfromhome,0.0,3.0,5,No,https://internshala.com/internship/detail/work-from-home-part-time-e-commerce-sales-internship-at-rr-digitals1750239766,2000.0,5000
1540,Fashion Design And Merchandising,Celebria Collective,0.0,Bangalore,0.0,3.0,5,yes,https://internshala.com/internship/detail/fashion-design-and-merchandising-internship-in-bangalore-at-celebria-collective1750232486,7000.0,10000
1541,Marketing,ImagineIT Studios,0.0,Gurgaon,0.0,4.0,5,No,https://internshala.com/internship/detail/marketing-internship-in-gurgaon-at-imagineit-studios1750239498,8000.0,10000
1542,E-Commerce Operations,Saloni Doshi,0.0,Mumbai,0.0,6.0,5,yes,https://internshala.com/internship/detail/e-commerce-operations-internship-in-mumbai-at-saloni-doshi1750238702,5000.0,10000
1543,Video Editing/Making,Maheer Maheer,0.0,"Chandigarh,Mohali,Panchkula",0.0,3.0,5,yes,https://internshala.com/internship/detail/video-editing-making-internship-in-multiple-locations-at-maheer-maheer1750238520,10000.0,20000
1544,Marketing,KAPAALI.in,0.0,Kolkata,0.0,3.0,5,No,https://internshala.com/internship/detail/part-time-marketing-internship-in-kolkata-at-kapaaliin1750231156,5000.0,10000
1545,Computer Operator,ARRANGERZ GROUP,0.0,Mumbai,0.0,6.0,5,yes,https://internshala.com/internship/detail/computer-operator-internship-in-mumbai-at-arrangerz-group1750238265,5100.0,12000
1546,Marketing and Operations,Earth5R,1.0,Mumbai,0.0,3.0,5,yes,https://internshala.com/internship/detail/marketing-and-operations-internship-in-mumbai-at-earth5r1750238210,2000.0,5000
1547,Procurement,The Affordable Organic Store,1.0,Workfromhome,0.0,6.0,5,No,https://internshala.com/internship/detail/work-from-home-procurement-internship-at-the-affordable-organic-store1750238116,5000.0,10000
1548,International Business Development,Matrix Exports,0.0,Bangalore,0.0,6.0,5,yes,https://internshala.com/internship/detail/international-business-development-internship-in-bangalore-at-matrix-exports1750238050,8000.0,10000
